entry_idx,exit_idx,entry,exit,direction,pnl_usdt,balance_after,entry_date,exit_date
4,5,0.08679,0.08705037,short,-0.2257499999999964,9.774250000000004,2025-10-29 08:45:00,2025-10-29 08:50:00
12,14,0.08924,0.08977544,long,0.4492499999999985,10.223500000000003,2025-10-29 09:25:00,2025-10-29 09:35:00
22,25,0.08996,0.09049976,long,0.44925000000000026,10.672750000000004,2025-10-29 10:15:00,2025-10-29 10:30:00
35,36,0.09158,0.09130526,long,-0.22574999999999637,10.447000000000008,2025-10-29 11:20:00,2025-10-29 11:25:00
51,53,0.09217,0.09189349000000001,long,-0.22574999999999487,10.221250000000014,2025-10-29 12:40:00,2025-10-29 12:50:00
66,67,0.09348,0.09404088,long,0.4492499999999998,10.670500000000013,2025-10-29 13:55:00,2025-10-29 14:00:00
90,91,0.09465,0.0952179,long,0.449249999999997,11.11975000000001,2025-10-29 15:55:00,2025-10-29 16:00:00
102,103,0.09308,0.09335923999999998,short,-0.22574999999998885,10.894000000000021,2025-10-29 16:55:00,2025-10-29 17:00:00
111,112,0.09133,0.09078201999999999,short,0.4492500000000029,11.343250000000024,2025-10-29 17:40:00,2025-10-29 17:45:00
114,115,0.09029,0.09056086999999999,short,-0.2257499999999938,11.11750000000003,2025-10-29 17:55:00,2025-10-29 18:00:00
117,118,0.08998,0.09024994,short,-0.2257499999999969,10.891750000000034,2025-10-29 18:10:00,2025-10-29 18:15:00
135,136,0.08944,0.08970832,short,-0.2257499999999904,10.666000000000043,2025-10-29 19:40:00,2025-10-29 19:45:00
167,168,0.0894,0.08886359999999999,short,0.4492500000000053,11.115250000000048,2025-10-29 22:20:00,2025-10-29 22:25:00
184,185,0.08895,0.0884163,short,0.4492499999999984,11.564500000000045,2025-10-29 23:45:00,2025-10-29 23:50:00
188,190,0.08839,0.08865516999999999,short,-0.22574999999999587,11.338750000000049,2025-10-30 00:05:00,2025-10-30 00:15:00
200,203,0.08936,0.08989615999999999,long,0.44924999999999493,11.788000000000045,2025-10-30 01:05:00,2025-10-30 01:20:00
221,223,0.08906,0.08852564,short,0.449249999999998,12.237250000000042,2025-10-30 02:50:00,2025-10-30 03:00:00
229,230,0.08935,0.08908195,long,-0.22575000000000486,12.011500000000037,2025-10-30 03:30:00,2025-10-30 03:35:00
233,234,0.08795,0.0874223,short,0.44925000000000503,12.460750000000042,2025-10-30 03:50:00,2025-10-30 03:55:00
236,238,0.08603,0.08551381999999999,short,0.44925000000000437,12.910000000000046,2025-10-30 04:05:00,2025-10-30 04:15:00
252,253,0.08631,0.08656892999999999,short,-0.2257499999999918,12.684250000000054,2025-10-30 05:25:00,2025-10-30 05:30:00
262,265,0.0871,0.08736129999999999,short,-0.2257499999999932,12.458500000000061,2025-10-30 06:15:00,2025-10-30 06:30:00
270,271,0.08682,0.08708045999999998,short,-0.2257499999999915,12.23275000000007,2025-10-30 06:55:00,2025-10-30 07:00:00
273,279,0.08665,0.0861301,short,0.44925000000000326,12.682000000000073,2025-10-30 07:10:00,2025-10-30 07:40:00
281,282,0.08564,0.08589691999999999,short,-0.22574999999999462,12.456250000000079,2025-10-30 07:50:00,2025-10-30 07:55:00
287,288,0.08479,0.08504437,short,-0.22574999999999104,12.230500000000088,2025-10-30 08:20:00,2025-10-30 08:25:00
297,302,0.08404,0.08353576,short,0.44925000000000265,12.679750000000091,2025-10-30 09:10:00,2025-10-30 09:35:00
312,314,0.08296,0.08246224,short,0.4492499999999999,13.12900000000009,2025-10-30 10:25:00,2025-10-30 10:35:00
326,327,0.08103,0.08127308999999999,short,-0.22574999999998838,12.903250000000101,2025-10-30 11:35:00,2025-10-30 11:40:00
333,334,0.08298,0.08347788,long,0.4492500000000056,13.352500000000108,2025-10-30 12:10:00,2025-10-30 12:15:00
336,337,0.08322,0.08371932,long,0.4492499999999978,13.801750000000105,2025-10-30 12:25:00,2025-10-30 12:30:00
339,340,0.08906,0.08959436,long,0.449249999999998,14.251000000000102,2025-10-30 12:40:00,2025-10-30 12:45:00
351,352,0.09226,0.09281355999999999,long,0.44924999999999565,14.700250000000098,2025-10-30 13:40:00,2025-10-30 13:45:00
354,355,0.09231,0.09203307000000001,long,-0.22574999999999568,14.474500000000102,2025-10-30 13:55:00,2025-10-30 14:00:00
358,359,0.08554,0.08579661999999999,short,-0.22574999999998702,14.248750000000115,2025-10-30 14:15:00,2025-10-30 14:20:00
365,366,0.09193,0.09165421,long,-0.22574999999999834,14.023000000000117,2025-10-30 14:50:00,2025-10-30 14:55:00
368,369,0.0957,0.09627419999999999,long,0.4492499999999976,14.472250000000114,2025-10-30 15:05:00,2025-10-30 15:10:00
371,372,0.09923,0.09982538,long,0.4492500000000049,14.921500000000119,2025-10-30 15:20:00,2025-10-30 15:25:00
375,376,0.1,0.10060000000000001,long,0.4492500000000025,15.370750000000122,2025-10-30 15:40:00,2025-10-30 15:45:00
378,379,0.10113,0.10082661,long,-0.22575000000000045,15.145000000000122,2025-10-30 15:55:00,2025-10-30 16:00:00
391,392,0.09343,0.09286942,short,0.449250000000004,15.594250000000127,2025-10-30 17:00:00,2025-10-30 17:05:00
401,402,0.09392,0.09448352,long,0.4492499999999983,16.043500000000126,2025-10-30 17:50:00,2025-10-30 17:55:00
420,421,0.09309,0.09253146000000001,short,0.449249999999997,16.49275000000012,2025-10-30 19:25:00,2025-10-30 19:30:00
423,425,0.09302,0.09329905999999999,short,-0.22574999999998688,16.267000000000134,2025-10-30 19:40:00,2025-10-30 19:50:00
433,434,0.094,0.093718,long,-0.22575000000000353,16.04125000000013,2025-10-30 20:30:00,2025-10-30 20:35:00
443,444,0.093,0.092442,short,0.4492500000000023,16.490500000000132,2025-10-30 21:20:00,2025-10-30 21:25:00
449,450,0.09419,0.09390743,long,-0.2257499999999967,16.264750000000134,2025-10-30 21:50:00,2025-10-30 21:55:00
452,453,0.0941,0.0938177,long,-0.22574999999999937,16.039000000000136,2025-10-30 22:05:00,2025-10-30 22:10:00
470,476,0.09371,0.09342887,long,-0.22575000000000353,15.813250000000133,2025-10-30 23:35:00,2025-10-31 00:05:00
479,482,0.09271,0.09298812999999999,short,-0.2257499999999899,15.587500000000144,2025-10-31 00:20:00,2025-10-31 00:35:00
494,496,0.0934,0.0939604,long,0.44925000000000204,16.036750000000147,2025-10-31 01:35:00,2025-10-31 01:45:00
510,511,0.09345,0.09373034999999999,short,-0.2257499999999878,15.81100000000016,2025-10-31 02:55:00,2025-10-31 03:00:00
519,520,0.0937,0.0939811,short,-0.22574999999999396,15.585250000000165,2025-10-31 03:40:00,2025-10-31 03:45:00
527,529,0.09322,0.09266068,short,0.44925000000000165,16.03450000000017,2025-10-31 04:20:00,2025-10-31 04:30:00
537,539,0.0942,0.09476520000000001,long,0.44925000000000137,16.48375000000017,2025-10-31 05:10:00,2025-10-31 05:20:00
553,554,0.09532,0.09503404,long,-0.22575000000000137,16.25800000000017,2025-10-31 06:30:00,2025-10-31 06:35:00
