entry_idx,exit_idx,entry,exit,direction,reason,pnl_usdt,balance_after,entry_date,exit_date
320,320,0.11096,0.11107096,short,IMMEDIATE_SL_HIT,-0.14999999999999547,5.025000000000178,2025-10-29 19:11:00,2025-10-29 19:11:00
341,341,0.11056,0.11067055999999999,short,IMMEDIATE_SL_HIT,-0.14999999999998764,4.87500000000019,2025-10-29 19:32:00,2025-10-29 19:32:00
345,345,0.1099,0.11000989999999998,short,IMMEDIATE_SL_HIT,-0.14999999999998787,4.725000000000202,2025-10-29 19:36:00,2025-10-29 19:36:00
353,353,0.10965,0.10943069999999999,short,IMMEDIATE_TP_HIT,0.07500000000000384,4.800000000000206,2025-10-29 19:44:00,2025-10-29 19:44:00
355,355,0.10989,0.10967022,short,IMMEDIATE_TP_HIT,0.07500000000000187,4.875000000000208,2025-10-29 19:46:00,2025-10-29 19:46:00
363,363,0.10948,0.10926103999999999,short,IMMEDIATE_TP_HIT,0.07500000000000286,4.950000000000211,2025-10-29 19:54:00,2025-10-29 19:54:00
365,365,0.10928,0.10938927999999999,short,IMMEDIATE_SL_HIT,-0.14999999999999272,4.800000000000218,2025-10-29 19:56:00,2025-10-29 19:56:00
377,377,0.10937,0.10947936999999998,short,IMMEDIATE_SL_HIT,-0.1499999999999888,4.6500000000002295,2025-10-29 20:08:00,2025-10-29 20:08:00
380,380,0.10952,0.10962952,short,IMMEDIATE_SL_HIT,-0.14999999999999175,4.500000000000238,2025-10-29 20:11:00,2025-10-29 20:11:00
389,390,0.1107,0.1109214,long,TP_HIT,0.0749999999999977,4.5750000000002355,2025-10-29 20:20:00,2025-10-29 20:21:00
392,392,0.1111,0.11132220000000001,long,IMMEDIATE_TP_HIT,0.07500000000000387,4.650000000000239,2025-10-29 20:23:00,2025-10-29 20:23:00
394,394,0.11158,0.11180316,long,IMMEDIATE_TP_HIT,0.07500000000000001,4.7250000000002395,2025-10-29 20:25:00,2025-10-29 20:25:00
396,396,0.11195,0.11217389999999999,long,IMMEDIATE_TP_HIT,0.07499999999999943,4.800000000000239,2025-10-29 20:27:00,2025-10-29 20:27:00
421,421,0.11129,0.11117871,long,IMMEDIATE_SL_HIT,-0.15000000000000002,4.650000000000238,2025-10-29 20:52:00,2025-10-29 20:52:00
449,450,0.11102,0.11124204,long,TP_HIT,0.07500000000000452,4.725000000000243,2025-10-29 21:20:00,2025-10-29 21:21:00
467,474,0.111,0.11111099999999999,short,SL_HIT,-0.1499999999999906,4.575000000000252,2025-10-29 21:38:00,2025-10-29 21:45:00
