entry_idx,exit_idx,entry,exit,direction,reason,pnl_usdt,balance_after,entry_date,exit_date
152,152,0.291,0.291582,long,IMMEDIATE_TP_HIT,0.07500000000000695,7.1250000000000995,2025-10-29 16:23:00,2025-10-29 16:23:00
154,154,0.2911,0.29080890000000004,long,IMMEDIATE_SL_HIT,-0.14999999999999705,6.975000000000103,2025-10-29 16:25:00,2025-10-29 16:25:00
176,176,0.2858,0.28608579999999995,short,IMMEDIATE_SL_HIT,-0.14999999999998614,6.8250000000001165,2025-10-29 16:47:00,2025-10-29 16:47:00
201,201,0.286,0.28628599999999993,short,IMMEDIATE_SL_HIT,-0.1499999999999877,6.675000000000129,2025-10-29 17:12:00,2025-10-29 17:12:00
204,204,0.2862,0.28562760000000004,short,IMMEDIATE_TP_HIT,0.0749999999999929,6.750000000000122,2025-10-29 17:15:00,2025-10-29 17:15:00
208,208,0.2853,0.2855853,short,IMMEDIATE_SL_HIT,-0.1499999999999969,6.600000000000125,2025-10-29 17:19:00,2025-10-29 17:19:00
224,224,0.2888,0.2893776,long,IMMEDIATE_TP_HIT,0.07500000000000295,6.675000000000128,2025-10-29 17:35:00,2025-10-29 17:35:00
226,226,0.2925,0.293085,long,IMMEDIATE_TP_HIT,0.07500000000000054,6.750000000000128,2025-10-29 17:37:00,2025-10-29 17:37:00
228,228,0.2927,0.29328540000000003,long,IMMEDIATE_TP_HIT,0.07500000000000348,6.825000000000132,2025-10-29 17:39:00,2025-10-29 17:39:00
230,230,0.2944,0.29410559999999997,long,IMMEDIATE_SL_HIT,-0.15000000000000713,6.675000000000124,2025-10-29 17:41:00,2025-10-29 17:41:00
233,233,0.2964,0.2969928,long,IMMEDIATE_TP_HIT,0.07500000000000111,6.750000000000125,2025-10-29 17:44:00,2025-10-29 17:44:00
239,239,0.2987,0.29840130000000004,long,IMMEDIATE_SL_HIT,-0.14999999999999625,6.600000000000129,2025-10-29 17:50:00,2025-10-29 17:50:00
241,241,0.2992,0.2989008,long,IMMEDIATE_SL_HIT,-0.14999999999999986,6.45000000000013,2025-10-29 17:52:00,2025-10-29 17:52:00
248,248,0.3001,0.3007002,long,IMMEDIATE_TP_HIT,0.07499999999999879,6.525000000000128,2025-10-29 17:59:00,2025-10-29 17:59:00
250,250,0.3015,0.3011985,long,IMMEDIATE_SL_HIT,-0.15000000000000252,6.375000000000126,2025-10-29 18:01:00,2025-10-29 18:01:00
252,252,0.3039,0.3035961,long,IMMEDIATE_SL_HIT,-0.15000000000000585,6.22500000000012,2025-10-29 18:03:00,2025-10-29 18:03:00
264,264,0.296,0.29629599999999995,short,IMMEDIATE_SL_HIT,-0.1499999999999906,6.07500000000013,2025-10-29 18:15:00,2025-10-29 18:15:00
268,268,0.3003,0.3009006,long,IMMEDIATE_TP_HIT,0.07500000000000165,6.150000000000132,2025-10-29 18:19:00,2025-10-29 18:19:00
273,273,0.2968,0.2970968,short,IMMEDIATE_SL_HIT,-0.14999999999999647,6.000000000000135,2025-10-29 18:24:00,2025-10-29 18:24:00
282,282,0.301,0.301602,long,IMMEDIATE_TP_HIT,0.07499999999999786,6.0750000000001325,2025-10-29 18:33:00,2025-10-29 18:33:00
284,284,0.3031,0.3027969,long,IMMEDIATE_SL_HIT,-0.15000000000000016,5.925000000000132,2025-10-29 18:35:00,2025-10-29 18:35:00
289,289,0.2816,0.2818816,short,IMMEDIATE_SL_HIT,-0.1499999999999981,5.7750000000001345,2025-10-29 18:40:00,2025-10-29 18:40:00
291,291,0.2786,0.2788786,short,IMMEDIATE_SL_HIT,-0.14999999999998984,5.625000000000145,2025-10-29 18:42:00,2025-10-29 18:42:00
303,303,0.2986,0.2983014,long,IMMEDIATE_SL_HIT,-0.14999999999999555,5.475000000000149,2025-10-29 18:54:00,2025-10-29 18:54:00
308,308,0.2934,0.29369339999999994,short,IMMEDIATE_SL_HIT,-0.1499999999999856,5.325000000000164,2025-10-29 18:59:00,2025-10-29 18:59:00
320,320,0.2961,0.29580389999999995,long,IMMEDIATE_SL_HIT,-0.1500000000000054,5.175000000000158,2025-10-29 19:11:00,2025-10-29 19:11:00
322,322,0.2986,0.2983014,long,IMMEDIATE_SL_HIT,-0.14999999999999555,5.025000000000162,2025-10-29 19:13:00,2025-10-29 19:13:00
324,324,0.2985,0.2982015,long,IMMEDIATE_SL_HIT,-0.1499999999999948,4.875000000000167,2025-10-29 19:15:00,2025-10-29 19:15:00
336,336,0.2953,0.2947094,short,IMMEDIATE_TP_HIT,0.07499999999999915,4.950000000000166,2025-10-29 19:27:00,2025-10-29 19:27:00
339,339,0.2938,0.29409379999999996,short,IMMEDIATE_SL_HIT,-0.14999999999998856,4.8000000000001775,2025-10-29 19:30:00,2025-10-29 19:30:00
342,342,0.2922,0.29161560000000003,short,IMMEDIATE_TP_HIT,0.07499999999999613,4.875000000000173,2025-10-29 19:33:00,2025-10-29 19:33:00
344,344,0.2896,0.2890208,short,IMMEDIATE_TP_HIT,0.07500000000000048,4.950000000000173,2025-10-29 19:35:00,2025-10-29 19:35:00
346,346,0.2866,0.2868866,short,IMMEDIATE_SL_HIT,-0.1499999999999922,4.800000000000181,2025-10-29 19:37:00,2025-10-29 19:37:00
366,366,0.2918,0.2915082,long,IMMEDIATE_SL_HIT,-0.15000000000000224,4.650000000000179,2025-10-29 19:57:00,2025-10-29 19:57:00
375,375,0.2894,0.2896894,short,IMMEDIATE_SL_HIT,-0.14999999999999875,4.50000000000018,2025-10-29 20:06:00,2025-10-29 20:06:00
390,390,0.2928,0.2925072,long,IMMEDIATE_SL_HIT,-0.1499999999999954,4.350000000000185,2025-10-29 20:21:00,2025-10-29 20:21:00
392,392,0.2939,0.2944878,long,IMMEDIATE_TP_HIT,0.07500000000000694,4.425000000000193,2025-10-29 20:23:00,2025-10-29 20:23:00
394,394,0.2959,0.2956041,long,IMMEDIATE_SL_HIT,-0.15000000000000396,4.275000000000189,2025-10-29 20:25:00,2025-10-29 20:25:00
396,396,0.2971,0.2968029,long,IMMEDIATE_SL_HIT,-0.14999999999999863,4.12500000000019,2025-10-29 20:27:00,2025-10-29 20:27:00
398,398,0.2968,0.29739360000000004,long,IMMEDIATE_TP_HIT,0.07500000000000694,4.200000000000197,2025-10-29 20:29:00,2025-10-29 20:29:00
406,406,0.2994,0.2991006,long,IMMEDIATE_SL_HIT,-0.1500000000000013,4.050000000000196,2025-10-29 20:37:00,2025-10-29 20:37:00
408,408,0.3001,0.29979989999999995,long,IMMEDIATE_SL_HIT,-0.15000000000000635,3.9000000000001895,2025-10-29 20:39:00,2025-10-29 20:39:00
420,420,0.298,0.298596,long,IMMEDIATE_TP_HIT,0.07499999999999632,3.9750000000001857,2025-10-29 20:51:00,2025-10-29 20:51:00
440,440,0.2993,0.2990007,long,IMMEDIATE_SL_HIT,-0.15000000000000058,3.825000000000185,2025-10-29 21:11:00,2025-10-29 21:11:00
444,444,0.2967,0.2969967,short,IMMEDIATE_SL_HIT,-0.14999999999999572,3.675000000000189,2025-10-29 21:15:00,2025-10-29 21:15:00
446,446,0.2969,0.2971969,short,IMMEDIATE_SL_HIT,-0.1499999999999972,3.5250000000001918,2025-10-29 21:17:00,2025-10-29 21:17:00
452,452,0.2985,0.2982015,long,IMMEDIATE_SL_HIT,-0.1499999999999948,3.375000000000197,2025-10-29 21:23:00,2025-10-29 21:23:00
454,454,0.298,0.29770199999999997,long,IMMEDIATE_SL_HIT,-0.15000000000000518,3.225000000000192,2025-10-29 21:25:00,2025-10-29 21:25:00
456,458,0.2982,0.2979018,long,SL_HIT,-0.15000000000000657,3.0750000000001854,2025-10-29 21:27:00,2025-10-29 21:29:00
463,463,0.3002,0.3008004,long,IMMEDIATE_TP_HIT,0.07500000000000023,3.1500000000001855,2025-10-29 21:34:00,2025-10-29 21:34:00
465,465,0.3017,0.3023034,long,IMMEDIATE_TP_HIT,0.07499999999999404,3.2250000000001795,2025-10-29 21:36:00,2025-10-29 21:36:00
467,467,0.3033,0.3029967,long,IMMEDIATE_SL_HIT,-0.15000000000000158,3.075000000000178,2025-10-29 21:38:00,2025-10-29 21:38:00
469,469,0.3065,0.3061935,long,IMMEDIATE_SL_HIT,-0.14999999999999689,2.925000000000181,2025-10-29 21:40:00,2025-10-29 21:40:00
471,471,0.3054,0.3050946,long,IMMEDIATE_SL_HIT,-0.15000000000000274,2.7750000000001784,2025-10-29 21:42:00,2025-10-29 21:42:00
491,491,0.3022,0.3025022,short,IMMEDIATE_SL_HIT,-0.14999999999999372,2.6250000000001847,2025-10-29 22:02:00,2025-10-29 22:02:00
493,493,0.3023,0.3026023,short,IMMEDIATE_SL_HIT,-0.14999999999999442,2.47500000000019,2025-10-29 22:04:00,2025-10-29 22:04:00
501,501,0.3041,0.3037959,long,IMMEDIATE_SL_HIT,-0.14999999999999356,2.3250000000001965,2025-10-29 22:12:00,2025-10-29 22:12:00
503,503,0.3035,0.3031965,long,IMMEDIATE_SL_HIT,-0.15000000000000302,2.1750000000001934,2025-10-29 22:14:00,2025-10-29 22:14:00
506,506,0.3018,0.3021018,short,IMMEDIATE_SL_HIT,-0.14999999999999086,2.0250000000002024,2025-10-29 22:17:00,2025-10-29 22:17:00
527,527,0.2991,0.2993990999999999,short,IMMEDIATE_SL_HIT,-0.14999999999998523,1.8750000000002172,2025-10-29 22:38:00,2025-10-29 22:38:00
537,537,0.3015,0.3011985,long,IMMEDIATE_SL_HIT,-0.15000000000000252,1.7250000000002146,2025-10-29 22:48:00,2025-10-29 22:48:00
550,552,0.3012,0.3005976,short,TP_HIT,0.0750000000000007,1.8000000000002152,2025-10-29 23:01:00,2025-10-29 23:03:00
554,554,0.3007,0.30009860000000005,short,IMMEDIATE_TP_HIT,0.07499999999999354,1.8750000000002087,2025-10-29 23:05:00,2025-10-29 23:05:00
556,556,0.2989,0.2991989,short,IMMEDIATE_SL_HIT,-0.14999999999999772,1.725000000000211,2025-10-29 23:07:00,2025-10-29 23:07:00
558,558,0.2983,0.2977034,short,IMMEDIATE_TP_HIT,0.07500000000000069,1.8000000000002117,2025-10-29 23:09:00,2025-10-29 23:09:00
560,560,0.2968,0.2970968,short,IMMEDIATE_SL_HIT,-0.14999999999999647,1.6500000000002153,2025-10-29 23:11:00,2025-10-29 23:11:00
